student_id,district,gender,income_tier,treatment_group,baseline_score,parent_trust,tech_adopted,attrition_status,endline_score
156,Faisalabad,Male,Low,Treatment,30,Disagree,Yes,Surveyed,49.586899737923375
157,Islamabad,Female,Low,Treatment,39,Disagree,Yes,Surveyed,58.07868709994623
158,Multan,Male,Low,Control,34,Strongly Agree,No,Surveyed,32.888041945144636
159,Lahore,Female,Low,Treatment,52,Agree,No,Surveyed,75.14792117897045
160,Multan,Female,Middle,Control,45,Strongly Agree,Yes,Surveyed,49.5218151923217
161,Karachi,Female,High,Treatment,46,Strongly Agree,Yes,Refused,55.7574895168285
162,Islamabad,Male,Middle,Control,36,Disagree,No,Refused,35.84865108835625
163,Islamabad,Female,High,Treatment,38,Strongly Agree,Yes,Refused,49.75549542768196
164,Faisalabad,Female,Middle,Treatment,40,Strongly Agree,Yes,Surveyed,48.89788351803656
165,Lahore,Female,Low,Treatment,61,Disagree,No,Surveyed,76.7479172343479
166,Multan,Male,Low,Control,35,Agree,Yes,Surveyed,39.170808010813545
167,Islamabad,Female,Middle,Control,71,Agree,Yes,Surveyed,76.13530489475542
168,Lahore,Female,High,Treatment,41,Strongly Disagree,Yes,Not Reached,51.1146628476422
169,Karachi,Male,Middle,Control,38,Agree,Yes,Surveyed,47.44093416605705
170,Karachi,Female,Low,Control,50,Agree,Yes,Surveyed,46.20306396836045
171,Faisalabad,Male,Low,Treatment,35,Strongly Agree,No,Surveyed,55.062818178344045
172,Multan,Female,Middle,Treatment,44,Strongly Agree,Yes,Refused,48.42983441596381
173,Islamabad,Male,Low,Control,45,Disagree,No,Surveyed,47.344886087156056
174,Multan,Female,High,Control,57,Disagree,Yes,Surveyed,60.01789732234135
175,Faisalabad,Male,Middle,Treatment,22,Agree,Yes,Not Reached,35.679054493693876
176,Faisalabad,Male,Low,Treatment,37,Agree,Yes,Surveyed,43.96816660579011
177,Faisalabad,Male,High,Control,40,Disagree,No,Surveyed,47.70832251750753
178,Karachi,Male,Low,Control,45,Strongly Agree,No,Surveyed,50.62937484731172
179,Karachi,Male,Low,Treatment,43,Strongly Disagree,Yes,Surveyed,63.69231124390076
180,Faisalabad,Female,Middle,Control,57,Disagree,No,Refused,56.391021581570946
181,Islamabad,Female,Low,Control,55,Disagree,Yes,Surveyed,54.49338477252618
182,Faisalabad,Female,High,Control,37,Strongly Disagree,No,Surveyed,40.81598565451389
183,Faisalabad,Male,Low,Control,47,Strongly Agree,Yes,Surveyed,37.747715487584266
184,Karachi,Female,Middle,Control,47,Agree,No,Surveyed,50.70165027444389
185,Lahore,Female,Low,Treatment,53,Strongly Disagree,Yes,Surveyed,82.18654563884172
186,Lahore,Male,Middle,Treatment,38,Strongly Agree,No,Surveyed,45.54298681675171
187,Multan,Female,Low,Control,35,Strongly Agree,Yes,Surveyed,40.16424859512544
188,Multan,Female,Middle,Treatment,50,Agree,Yes,Surveyed,60.010344172142204
189,Karachi,Male,Middle,Control,30,Strongly Agree,Yes,Not Reached,37.96655181800439
190,Karachi,Female,Middle,Treatment,45,Disagree,No,Surveyed,60.749457177216314
191,Karachi,Male,High,Control,48,Disagree,No,Surveyed,51.49070051330201
192,Lahore,Female,Low,Treatment,65,Strongly Agree,Yes,Surveyed,85.37272905879857
193,Lahore,Male,Low,Control,34,Disagree,Yes,Refused,42.28902114195772
194,Lahore,Female,Low,Control,52,Disagree,No,Refused,48.11754660137655
195,Islamabad,Female,Low,Treatment,36,Agree,Yes,Refused,55.148530258649124
196,Karachi,Male,Low,Control,37,Strongly Agree,Yes,Not Reached,38.76429990800012
197,Faisalabad,Male,High,Treatment,39,Strongly Agree,No,Refused,59.40990146899283
198,Islamabad,Female,Middle,Treatment,34,Agree,Yes,Surveyed,49.59338658819331
199,Lahore,Male,Middle,Control,41,Disagree,Yes,Surveyed,42.99721415871494
200,Islamabad,Male,Middle,Treatment,56,Strongly Agree,No,Surveyed,70.25395034498078
201,Multan,Male,Low,Control,58,Agree,Yes,Surveyed,70.38659792969815
202,Karachi,Female,Middle,Treatment,31,Disagree,No,Surveyed,42.979366117145915
203,Faisalabad,Male,Middle,Control,33,Agree,Yes,Refused,38.28424479763959
204,Karachi,Male,Low,Control,22,Strongly Disagree,Yes,Surveyed,21.630106510074178
205,Karachi,Female,Middle,Treatment,29,Agree,Yes,Surveyed,39.20585696807858
206,Lahore,Female,Middle,Treatment,22,Strongly Agree,Yes,Not Reached,39.739200169209305
207,Islamabad,Male,Low,Control,38,Strongly Agree,Yes,Refused,41.86816037349327
208,Islamabad,Female,High,Treatment,54,Strongly Agree,Yes,Not Reached,62.675761901985354
209,Lahore,Female,Middle,Control,47,Agree,No,Refused,54.50153562667897
210,Lahore,Male,Low,Treatment,44,Strongly Agree,Yes,Refused,64.91181981258663
211,Islamabad,Female,Low,Control,58,Strongly Agree,No,Surveyed,64.63573735254911
212,Islamabad,Female,Middle,Treatment,47,Agree,Yes,Surveyed,59.71608297632577
213,Faisalabad,Male,Low,Control,18,Agree,Yes,Surveyed,21.47526792923158
214,Multan,Male,High,Control,40,Agree,No,Not Reached,52.60583178067825
215,Karachi,Male,Low,Control,47,Agree,Yes,Surveyed,49.99143252731554
216,Faisalabad,Female,Low,Control,44,Agree,No,Not Reached,52.897007302823525
217,Karachi,Male,High,Control,56,Agree,No,Surveyed,57.94055908384811
218,Lahore,Male,Low,Control,29,Strongly Disagree,No,Refused,35.16947377253254
219,Islamabad,Female,Low,Control,67,Agree,Yes,Refused,79.89719538641435
220,Lahore,Female,Middle,Control,53,Disagree,No,Surveyed,61.339629429418196
221,Lahore,Male,High,Treatment,57,Strongly Disagree,Yes,Surveyed,58.17647950959853
222,Multan,Male,High,Treatment,37,Strongly Agree,No,Surveyed,43.04669094505984
223,Karachi,Female,Low,Treatment,42,Agree,No,Refused,60.75636900895027
224,Karachi,Male,Low,Treatment,62,Agree,No,Surveyed,80.10233011904982
225,Faisalabad,Female,Low,Treatment,28,Disagree,No,Surveyed,48.84180774132402
226,Karachi,Female,Middle,Control,35,Strongly Agree,No,Surveyed,32.946314481048745
227,Lahore,Female,Low,Treatment,42,Strongly Agree,No,Surveyed,62.94787704722921
228,Karachi,Male,Low,Treatment,39,Strongly Agree,Yes,Refused,57.67595357411851
229,Lahore,Male,Middle,Treatment,49,Strongly Agree,No,Not Reached,64.16691514325015
230,Multan,Male,High,Treatment,39,Disagree,Yes,Surveyed,49.247935824190705
231,Karachi,Female,Low,Control,43,Strongly Agree,No,Surveyed,48.35448364982746
232,Faisalabad,Male,Low,Control,47,Agree,Yes,Surveyed,51.01533224718368
233,Lahore,Female,Low,Treatment,48,Agree,Yes,Surveyed,65.80707269547179
234,Multan,Male,Low,Control,38,Disagree,Yes,Surveyed,38.219791776647966
235,Lahore,Male,Middle,Treatment,51,Disagree,No,Surveyed,64.29324484991854
236,Karachi,Male,Low,Treatment,47,Agree,No,Not Reached,62.76110917954914
237,Multan,Female,Low,Treatment,40,Agree,No,Surveyed,61.868094066408084
238,Lahore,Male,High,Treatment,30,Agree,Yes,Surveyed,35.32316963323021
239,Karachi,Male,Low,Treatment,57,Agree,Yes,Surveyed,71.33693967648615
240,Faisalabad,Female,Middle,Treatment,53,Strongly Disagree,Yes,Refused,67.16677811377185
241,Karachi,Male,Low,Treatment,60,Disagree,Yes,Surveyed,76.11707479074892
242,Faisalabad,Female,Low,Control,45,Agree,No,Surveyed,55.11767100162014
243,Karachi,Female,Middle,Treatment,31,Strongly Agree,No,Surveyed,44.341117478904074
244,Multan,Female,Low,Treatment,45,Agree,No,Surveyed,67.83850162305302
245,Lahore,Female,High,Treatment,58,Disagree,No,Surveyed,74.00814486465887
246,Karachi,Female,Low,Control,33,Strongly Agree,Yes,Not Reached,42.59072314971877
247,Lahore,Male,Middle,Control,44,Strongly Agree,Yes,Surveyed,46.60627762057156
248,Karachi,Female,High,Control,56,Agree,Yes,Surveyed,61.46238606087953
249,Multan,Male,High,Control,49,Agree,Yes,Not Reached,52.55968021940422
250,Faisalabad,Female,Low,Control,50,Disagree,Yes,Surveyed,51.78384273808406
251,Karachi,Male,High,Control,51,Agree,Yes,Not Reached,57.53798802721917
252,Lahore,Female,Middle,Control,46,Strongly Agree,Yes,Surveyed,54.05191940215758
253,Lahore,Female,High,Treatment,45,Strongly Disagree,No,Surveyed,56.95118536222112
254,Faisalabad,Male,Middle,Treatment,32,Agree,Yes,Surveyed,48.794707589520605
255,Karachi,Male,High,Control,50,Disagree,Yes,Surveyed,54.8041583741176
256,Faisalabad,Female,Middle,Control,63,Agree,Yes,Surveyed,57.30201147348627
257,Islamabad,Female,High,Control,51,Strongly Agree,Yes,Surveyed,53.45599280316141
258,Karachi,Female,Low,Control,38,Agree,No,Not Reached,45.153453306149366
259,Islamabad,Male,Low,Control,60,Disagree,No,Not Reached,65.66114730562997
260,Islamabad,Female,Low,Control,41,Disagree,Yes,Surveyed,34.32512900862731
261,Multan,Male,Low,Control,39,Strongly Agree,Yes,Surveyed,45.621465153509575
262,Faisalabad,Female,Middle,Treatment,62,Disagree,Yes,Surveyed,68.31683487812433
263,Lahore,Female,Low,Treatment,67,Disagree,Yes,Surveyed,87.30070277830775
264,Karachi,Female,High,Control,21,Strongly Agree,Yes,Surveyed,18.5432804257316
265,Karachi,Female,Middle,Control,42,Agree,No,Surveyed,44.041827525160066
266,Multan,Male,Low,Control,51,Agree,Yes,Surveyed,56.25967534999885
267,Islamabad,Female,Middle,Control,42,Strongly Agree,Yes,Surveyed,39.697107967168556
268,Lahore,Male,High,Control,54,Strongly Agree,Yes,Surveyed,58.717756794749526
269,Lahore,Female,Low,Treatment,49,Strongly Agree,No,Surveyed,72.53800946251586
270,Islamabad,Female,High,Treatment,35,Disagree,Yes,Not Reached,41.503039788727236
271,Karachi,Male,Middle,Control,51,Disagree,Yes,Surveyed,42.28727787235143
272,Karachi,Female,Low,Control,38,Disagree,Yes,Surveyed,43.26370889585771
273,Multan,Female,Low,Treatment,34,Strongly Agree,No,Surveyed,51.790844209015205
274,Faisalabad,Female,Low,Control,55,Strongly Agree,No,Surveyed,58.797335358193706
275,Faisalabad,Male,High,Control,48,Strongly Agree,Yes,Surveyed,51.206142672245605
276,Islamabad,Female,Low,Control,59,Agree,Yes,Refused,57.79779934759089
277,Multan,Male,High,Treatment,33,Strongly Agree,Yes,Not Reached,42.64634291176127
278,Karachi,Male,Low,Treatment,69,Strongly Disagree,No,Surveyed,84.82793480089148
279,Faisalabad,Male,Low,Treatment,45,Agree,No,Refused,65.92806288193337
280,Islamabad,Male,Low,Control,33,Agree,No,Surveyed,42.89101910871664
281,Karachi,Female,Low,Treatment,52,Agree,Yes,Surveyed,70.01948655814678
282,Faisalabad,Male,Middle,Control,48,Strongly Agree,No,Not Reached,58.43223821365889
283,Faisalabad,Female,High,Treatment,44,Strongly Disagree,Yes,Surveyed,52.07777189947692
284,Islamabad,Female,High,Control,52,Agree,No,Surveyed,57.90193438531912
285,Faisalabad,Male,Low,Control,41,Agree,Yes,Surveyed,39.873357833830894
286,Multan,Female,High,Control,53,Disagree,Yes,Not Reached,50.84418636349961
287,Islamabad,Male,Middle,Treatment,56,Strongly Agree,Yes,Surveyed,71.3934757032664
288,Karachi,Male,Low,Treatment,52,Agree,No,Surveyed,70.09179699211931
289,Karachi,Female,Middle,Control,51,Agree,Yes,Surveyed,46.901767945084245
290,Multan,Female,Middle,Control,67,Agree,No,Surveyed,67.18339607930783
291,Multan,Female,Low,Control,38,Agree,Yes,Surveyed,38.64048786569949
292,Karachi,Female,Low,Control,43,Agree,Yes,Surveyed,43.27390148292224
293,Lahore,Male,High,Treatment,64,Agree,Yes,Surveyed,73.56499274968229
294,Faisalabad,Female,Middle,Control,34,Strongly Agree,Yes,Surveyed,40.45182381212563
295,Lahore,Male,Low,Treatment,41,Disagree,Yes,Surveyed,59.9697269217437
296,Faisalabad,Male,Middle,Treatment,39,Strongly Agree,Yes,Not Reached,46.072126231881676
297,Lahore,Female,High,Treatment,37,Agree,No,Surveyed,45.20532324504303
298,Multan,Male,Low,Treatment,23,Agree,No,Surveyed,30.70502251783674
299,Multan,Male,Middle,Control,48,Disagree,Yes,Surveyed,50.12804381087798
300,Karachi,Male,Low,Control,43,Strongly Agree,No,Surveyed,47.55438212275781
301,Multan,Male,Low,Treatment,47,Strongly Agree,Yes,Refused,66.6502838410741
302,Faisalabad,Female,High,Control,40,Agree,Yes,Surveyed,39.095854924332414
303,Karachi,Male,Low,Control,59,Agree,Yes,Surveyed,59.33201418076793
304,Karachi,Female,Low,Control,36,Strongly Agree,Yes,Surveyed,47.46814426295959
305,Islamabad,Female,High,Treatment,47,Strongly Agree,No,Surveyed,57.57699582504381
306,Multan,Female,Middle,Treatment,55,Agree,No,Surveyed,66.97065846603307
307,Karachi,Female,Middle,Treatment,35,Strongly Agree,Yes,Surveyed,52.87031762831133
308,Faisalabad,Female,Middle,Treatment,49,Strongly Agree,No,Surveyed,55.50176488416565
309,Multan,Male,Low,Control,32,Disagree,Yes,Surveyed,32.55320221993496
310,Lahore,Female,Middle,Control,52,Strongly Agree,Yes,Refused,52.077083564567076
311,Islamabad,Female,Low,Control,50,Strongly Disagree,Yes,Surveyed,61.22460385337387
312,Multan,Male,Low,Control,44,Disagree,Yes,Surveyed,45.05143546600087
313,Multan,Male,Low,Control,40,Disagree,No,Surveyed,46.5619774039691
314,Multan,Male,Low,Control,39,Agree,No,Refused,39.34425016331874
315,Multan,Male,Middle,Treatment,63,Disagree,Yes,Surveyed,77.01944427068803
316,Faisalabad,Male,Low,Control,51,Strongly Disagree,Yes,Surveyed,54.33430112219876
317,Lahore,Male,Low,Control,45,Agree,Yes,Surveyed,50.25599151770142
318,Lahore,Female,High,Treatment,52,Agree,Yes,Surveyed,60.67592465272931
319,Karachi,Female,Low,Control,34,Agree,Yes,Surveyed,36.32765381593329
320,Karachi,Female,Low,Control,39,Agree,Yes,Surveyed,43.48053005296836
321,Islamabad,Female,Low,Control,49,Disagree,Yes,Refused,52.97965324451699
322,Multan,Female,Low,Control,45,Strongly Agree,Yes,Not Reached,51.18184666550108
323,Faisalabad,Male,High,Treatment,32,Disagree,No,Refused,37.28712407536694
324,Karachi,Male,Low,Control,42,Agree,No,Surveyed,49.733842699784994
325,Lahore,Male,Middle,Control,42,Strongly Agree,No,Surveyed,43.5580563455883
326,Lahore,Female,Middle,Control,41,Agree,Yes,Refused,44.175361491411024
327,Lahore,Male,High,Treatment,75,Strongly Agree,Yes,Not Reached,87.61899330492578
328,Lahore,Female,Low,Treatment,49,Agree,No,Surveyed,72.33702513990187
329,Multan,Female,High,Control,47,Disagree,No,Surveyed,41.912748781971324
